taxon_oid	Name	Classification
255561	XarboCFBP6826	Weaklypathogenic
255816	LMG476	Commensal
255842	LMG843	Pathogenic
255789	NCPPB3888	Pathogenic
255586	CFBP7653	Commensal
255528	LMG19144	Commensal
255749	XcampeCFBP7915	Commensal
255723	XcampeCFBP3277	Pathogenic
255694	CFBP7113	Pathogenic
255739	WHRI10006	Pathogenic
255751	BRE_17	Commensal
255848	GW	Commensal
255852	CFBP8703	Commensal
255745	XcampeCFBP13567	Commensal
255601	CPBF367	Commensal
255648	NCPPB579	Pathogenic
255669	NCPPB4348	Pathogenic
255636	CFBP4643	Commensal
255597	BRIP62409	Weaklypathogenic
255655	NCPPB1760	Pathogenic
255611	CFBP410	Pathogenic
255792	ATCC23378	Commensal
255765	NCPPB1061	Pathogenic
255812	R1	Commensal
255700	CFBP2524	Pathogenic
255859	SN8	Commensal
255837	LW16	Pathogenic
255709	X11-5A	Pathogenic
255559	CFBP7651	Weaklypathogenic
255737	XcampeF22	Pathogenic
255602	BRIP62411	Weaklypathogenic
255770	XcannaCFBP8596	Commensal
255530	SL2098	Commensal
255659	NCPPB1336	Pathogenic
255537	CFBP7614	Commensal
255706	CFBP7319	Pathogenic
255620	CFBP1817	Pathogenic
255839	LMG727	Pathogenic
255572	BRIP62412	Weaklypathogenic
255549	CFBP8147	Weaklypathogenic
255657	CFBP6369	Pathogenic
255849	NCPPB2983	Commensal
255779	Xcanna8600	Commensal
255595	BRIP62418	Weaklypathogenic
255725	Xcc8004_Xcc1	Pathogenic
255759	LMC_P47	Commensal
255806	LMG12461	Commensal
255787	XcannaCFBP8594	Commensal
255810	SHU308	Commensal
255687	CFBP6992	Pathogenic
255574	CFBP8132	Weaklypathogenic
255732	CFBP2527R	Pathogenic
255658	A1809	Pathogenic
255699	LMG695	Pathogenic
255702	Xa85	Pathogenic
255843	B99	Pathogenic
255804	LMG12459	Commensal
255525	XarboF11	Commensal
255741	XcvDC91-1	Pathogenic
255598	CFBP426	Commensal
255853	CFBP8700	Commensal
255778	XcannaCFBP8593	Commensal
255667	XeuvesiCFBP7922	Pathogenic
255828	MUS060	Commensal
255671	NCPPB2057	Pathogenic
255510	XarboF7	Commensal
255860	XNIII60	Commensal
255555	NCPPB1832	Weaklypathogenic
255772	XcannaCFBP8592	Commensal
255807	SHU199	Commensal
255716	CFBP1976	Pathogenic
255788	NEB122	Pathogenic
255758	LMC_P25	Commensal
255516	CFBP8138	Commensal
255823	FIJ080	Pathogenic
255684	TX160149	Pathogenic
255505	MEDV_P39	Commensal
255743	MAFF106181	Pathogenic
255517	F18	Commensal
255645	F1	Pathogenic
255625	PLY_2	Commensal
255640	LH3	Pathogenic
255635	LM159	Pathogenic
255533	CFBP7604	Commensal
255858	LMG8992	Commensal
255603	NCPPB4013	Pathogenic
255830	LMG9002	Commensal
255698	CHN01	Pathogenic
255820	D-93	Commensal
255764	NCPPB2970	Weaklypathogenic
255551	CFBP7410	Weaklypathogenic
255566	MEDV_A37	Weaklypathogenic
255748	LMC_P73	Commensal
255838	1	Pathogenic
255515	17	Commensal
255736	71	Pathogenic
255529	74	Commensal
255518	84A	Commensal
255664	85-10	Pathogenic
255738	756C	Pathogenic
255571	1311A	Weaklypathogenic
255539	1314C	Weaklypathogenic
255514	2768	Commensal
255588	2949	Commensal
255594	2955	Commensal
255599	2957	Commensal
255587	2974	Commensal
255500	3004	Commensal
255575	3046	Weaklypathogenic
255623	3058	Commensal
255624	3075	Commensal
255573	3140	Weaklypathogenic
255570	3272	Weaklypathogenic
255832	3307	Commensal
255591	3338	Commensal
255538	3376	Weaklypathogenic
255831	3498	Commensal
255592	3640	Commensal
255522	3790	Commensal
255777	8590	Commensal
255730	18048	Pathogenic
